website;m;pos;adstart;adfirst;admid;adthird;adcomplete;adclick;adpaused;adresume
492;10;0;1;1;1;1;1;0;0;0
492;7;0;1;0;0;0;0;1;0;0
492;9;0;1;1;1;1;1;0;0;0
492;9;4;1;0;0;0;0;1;0;0
492;12;3;2;2;2;1;1;0;0;0
492;1;0;3;3;2;2;2;1;0;0
492;5;1;1;1;0;0;0;1;0;0
492;12;0;1;0;0;0;0;0;0;0
492;12;1;1;1;1;1;1;0;0;0
492;7;0;1;1;1;1;1;0;0;0
492;9;0;3;3;3;3;3;1;1;0
492;5;0;1;1;1;0;0;3;2;0
492;3;4;1;1;1;1;1;0;0;0
492;7;2;1;1;1;1;0;1;0;0
492;6;0;1;1;1;1;0;2;1;0
492;9;0;1;1;1;1;0;1;0;0
492;2;0;1;1;1;1;0;1;0;0
492;12;0;1;1;1;1;0;0;0;0
492;12;0;1;1;1;1;1;0;0;0
492;10;2;1;1;1;1;0;0;0;0
492;8;2;1;1;1;1;1;0;0;0
492;5;0;2;2;2;2;2;0;0;0
492;11;3;1;1;1;1;0;0;0;0
492;10;0;1;1;1;1;1;0;0;0
492;3;0;1;0;0;0;0;0;0;0
492;12;2;1;1;0;0;0;1;0;0
492;11;1;1;1;1;1;1;0;0;0
492;12;0;1;0;0;0;0;0;0;0
492;10;0;4;4;2;2;2;2;0;0
492;9;0;1;0;0;0;0;4;3;0
492;6;0;2;2;2;2;2;0;0;0
492;12;0;1;1;1;1;1;0;0;0
492;11;0;1;1;1;1;1;0;0;0
492;1;0;1;1;1;1;1;0;0;0
492;1;0;3;3;2;1;1;2;0;0
492;6;0;1;1;1;1;1;0;0;0
492;11;0;1;1;1;0;0;0;0;0
492;12;0;1;1;1;1;1;0;0;0
492;3;0;1;1;1;1;1;0;0;0
492;9;0;1;1;1;1;1;0;0;0
492;6;0;1;1;1;1;1;0;0;0
492;12;0;1;1;1;1;0;1;0;0
492;11;0;1;0;0;0;0;1;0;0
492;11;0;1;0;0;0;0;1;0;0
492;7;0;1;1;1;1;1;0;0;0
492;6;3;1;1;1;1;1;0;0;0
492;5;2;2;2;1;1;1;1;0;0
492;1;0;1;1;1;1;1;0;0;0
492;11;0;2;2;2;1;1;1;0;0
492;11;3;1;1;1;1;0;1;0;0
492;12;0;1;1;1;0;0;1;0;0
492;12;0;1;1;1;1;1;0;0;0
492;8;4;1;1;1;1;1;0;0;0
492;10;0;1;0;0;0;0;0;0;0
492;12;0;3;3;3;3;3;1;1;0
492;11;1;1;1;1;0;0;2;1;0
492;4;0;1;1;1;1;1;0;0;0
492;7;0;1;1;1;1;1;0;0;0
492;3;0;2;2;2;2;1;2;1;0
492;12;4;1;1;1;1;1;0;0;0
492;9;0;1;1;1;1;1;0;0;0
492;4;0;1;1;1;1;1;0;0;0
492;10;0;1;1;1;1;1;0;0;0
492;9;0;1;1;1;1;1;0;0;0
492;6;0;1;1;1;1;1;0;0;0
492;2;0;1;1;1;1;1;0;0;0
492;10;4;1;1;1;1;1;1;1;0
492;8;0;1;1;1;1;1;0;0;0
492;10;0;1;0;0;0;0;0;0;0
492;8;0;3;3;1;1;1;0;0;0
492;11;2;1;1;1;1;1;0;0;0
492;8;0;1;1;1;1;1;0;0;0
492;8;0;1;0;0;0;0;1;0;0
492;11;1;1;1;1;1;1;0;0;0
492;6;0;1;0;0;0;0;1;0;0
492;3;0;1;1;1;1;1;0;0;0
492;1;0;1;1;1;1;1;0;0;0
492;10;0;1;1;1;1;1;0;0;0
492;9;2;1;1;0;0;0;0;0;0
492;10;0;1;1;1;1;1;0;0;0
492;4;2;1;1;1;1;0;0;0;0
492;3;0;1;1;1;1;1;0;0;0
492;1;0;1;1;1;0;0;1;0;0
492;6;0;1;1;1;1;1;2;2;0
492;9;0;1;1;0;0;0;1;0;0
492;6;4;1;1;1;1;1;0;0;0
492;7;1;1;1;1;1;1;0;0;0
492;12;2;1;1;1;1;1;0;0;0
492;6;0;1;1;1;1;1;0;0;0
492;8;0;1;1;1;1;1;0;0;0
492;11;0;1;0;0;0;0;1;0;0
492;6;4;1;1;0;0;0;1;1;0
492;9;0;1;1;1;1;0;1;0;0
492;11;0;1;1;1;1;1;0;0;0
492;12;0;3;3;3;3;2;2;1;0
492;3;0;1;1;1;1;1;0;0;0
492;12;0;1;1;1;1;1;0;0;0
492;7;0;1;1;1;1;1;0;0;0
492;4;0;1;1;0;0;0;0;0;0
492;7;0;1;1;1;1;1;0;0;0
492;12;0;1;0;0;0;0;2;1;0
492;7;0;1;1;1;1;1;0;0;0
492;5;0;1;1;1;1;1;0;0;0
492;9;0;1;1;1;1;1;0;0;0
492;4;1;1;1;1;1;1;0;0;0
492;2;4;1;1;1;1;1;0;0;0
492;3;0;1;0;0;0;0;1;0;0
492;3;0;1;1;1;1;1;0;0;0
492;3;1;1;1;1;1;1;0;0;0
493;3;0;358;334;313;303;299;38;30;0
493;9;0;984;913;857;813;767;93;75;0
493;3;0;137;127;122;112;107;10;8;0
493;6;2;1;1;2;2;2;0;0;0
493;12;0;167;157;153;140;134;21;13;0
493;7;0;1;1;1;1;1;0;0;0
493;9;0;7;6;4;3;3;1;0;0
493;3;0;33;26;22;18;15;10;10;0
493;4;0;4;4;4;4;4;0;0;0
493;1;2;5;2;1;1;1;2;2;0
493;3;0;79;65;55;50;43;10;8;0
493;5;0;8;7;7;7;6;0;0;0
493;3;0;12;10;10;10;10;0;0;0
493;2;0;1;1;1;1;1;0;0;0
493;3;0;16;12;10;9;7;2;1;0
493;7;0;8;8;8;8;6;6;6;0
493;4;0;66;62;56;51;42;8;3;0
493;6;2;84;74;70;67;62;9;9;0
493;8;0;21;17;18;16;16;2;2;0
493;10;2;55;54;47;43;43;6;1;0
493;1;0;1;1;1;1;1;0;0;0
493;11;1;31;30;20;18;18;5;6;0
493;9;0;148;134;119;111;98;24;18;0
493;2;0;3;2;1;0;0;0;0;0
493;11;2;240;203;182;171;157;44;40;0
493;12;1;2;2;1;1;1;0;0;0
493;2;1;10;10;9;8;7;3;2;0
493;5;0;389;0;0;0;0;0;0;0
